"","BIOME","1990","2000","2010","2015","2018","2020","2022","2023","2024"
"1","Albany Thicket",1988.0236,2253.8724,2427.0548,2978.0476,5330.5156,5376.9456,5376.95,5376.95,5377.7196
"2","Azonal",1801.3424,2299.1304,2453.2948,2520.5004,3056.3312,3149.7784,3154.0896,3154.0896,3154.0896
"3","Forest",1325.6012,1795.9684,1845.6648,1885.3424,1889.322,1928.8392,1937.134,1938.5016,1941.3328
"4","Fynbos",12357.738,14870.4568,17874.7344,18235.56,18533.372,18592.8164,18613.0596,18613.0596,18614.0616
"5","Grassland",8016.8412,10241.276,11572.9476,13114.5964,15940.6532,16317.952,16986.3608,17271.0788,17407.5924
"6","IOCB",208.5228,818.5952,818.7604,822.198,827.4084,830.5336,841.718,841.718,841.718
"7","Nama-Karoo",1989.8712,2290.0756,2379.0444,2689.9304,7455.4568,9079.2964,9146.7856,9146.7856,9146.7856
"8","Savanna",44452.2192,48055.0508,49220.12,50292.3732,54110.9576,55194.5124,55344.588,55709.324,56088.1844
"9","Succulent Karoo",1842.8244,2646.7448,4905.7736,5771.9428,5815.4832,5977.7092,6123.6096,6123.6096,6135.0776
"10","Desert",0,1153.7236,1600.4896,1600.4896,1630.3984,1666.8308,1666.8308,1666.8308,1666.8308
"11","TOTAL",NA,86424.894,95097.8844,99910.9808,114589.8984,118115.214,119191.126,119841.9476,120373.3924
