BIOME,1990,2000,2010,2015,2018,2020,2022,2023,2024
Albany Thicket,0.047770696015942776,0.0528087254229059,0.05528169125229446,0.070129017813015,0.11569086140188642,0.11608377047510542,0.11604443946132498,0.11604443946132498,0.11604443946132498
Azonal,0.054989930474420086,0.06625690414014222,0.07026673106036316,0.072703316580736,0.09102006956944952,0.0945043321878636,0.09429225813752115,0.09429225813752115,0.09429225813752115
Desert,0,0.08103023582470366,0.09275527343449351,0.09275527343449351,0.09594765971713504,0.10176160020817361,0.10169197906281378,0.10169197906281378,0.10169197906281378
Forest,0.16884643426467136,0.1995652572824598,0.20472609087718938,0.20800097809874735,0.20706621498298994,0.20765031497048014,0.20826226148686247,0.20854038821616153,0.20854038821616153
Fynbos,0.09318911073458558,0.11345659689068308,0.12151656133203237,0.12316083242390315,0.12456570325373484,0.12479930318719315,0.12478425065098556,0.12478425065098556,0.12479423034090067
Grassland,0.01748969377326206,0.022273087939198553,0.024911765181365945,0.027797671422553658,0.03445758762024525,0.03481074322202441,0.036243292461344785,0.03688571776646662,0.037196392582098343
IOCB,0.015173371073509691,0.06106453368295344,0.06075948284371294,0.060908552662754085,0.0608937380582912,0.06103524661269885,0.06095829962554633,0.06095829962554633,0.06095829962554633
Nama-Karoo,0.007096733596314305,0.008241550707978593,0.008561514515331218,0.009774836406540898,0.02835629507480471,0.03480358039028822,0.03500808574877327,0.03500808574877327,0.03500808574877327
Savanna,0.06607106713385436,0.07369302868184197,0.0756091607159513,0.07817821601703608,0.08479091527757289,0.08679068919536165,0.08695054059277382,0.08748825618810431,0.08752818390147696
Succulent Karoo,0.023383028576580533,0.03240289607652647,0.051169212598877856,0.06178215530969015,0.06226202820528447,0.06423815547875679,0.0660622964574297,0.0660622964574297,0.06619551009386616
TOTAL,0.038596195309944376,0.04588865199126158,0.04927079959533369,0.05242031450493222,0.062000004111876714,0.06431864215894972,0.0649163675078056,0.06526674865302912,0.06537395415406007
